[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 1], [1, 0, 1], [0, 1, 1]], [1.3333, 1.3333, 2.0]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 2], [1, 0, 1], [0, 1, 1]], [1.2192, 1.2192, 2.7808]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 2], [1, 0, 2], [0, 1, 1]], [1.1716, 1.4142, 3.4142]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 3], [1, 0, 1], [0, 1, 1]], [1.1569, 1.1569, 3.6861]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 2], [1, 0, 2], [0, 1, 2]], [1.3333, 1.3333, 4.0]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 3], [1, 0, 2], [0, 1, 1]], [1.1348, 1.3116, 4.2094]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 4], [1, 0, 1], [0, 1, 1]], [1.1208, 1.1208, 4.6375]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 3], [1, 0, 2], [0, 1, 2]], [1.2679, 1.2679, 4.7321]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 3], [1, 0, 3], [0, 1, 1]], [1.114, 1.443, 4.886]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 4], [1, 0, 2], [0, 1, 1]], [1.1089, 1.2444, 5.0923]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 1], [0, 1, 1]], [1.0979, 1.0979, 5.6085]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 3], [1, 0, 3], [0, 1, 2]], [1.228, 1.386, 5.386]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 4], [1, 0, 2], [0, 1, 2]], [1.2192, 1.2192, 5.5616]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 4], [1, 0, 3], [0, 1, 1]], [1.0966, 1.3592, 5.6755]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 2], [0, 1, 1]], [1.0906, 1.1992, 6.02]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 6], [1, 0, 1], [0, 1, 1]], [1.0821, 1.0821, 6.5895]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 3], [1, 0, 3], [0, 1, 3]], [1.3333, 1.3333, 6.0]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 4], [1, 0, 3], [0, 1, 2]], [1.1944, 1.323, 6.1441]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 4], [1, 0, 4], [0, 1, 1]], [1.0851, 1.4574, 6.3723]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 2], [0, 1, 2]], [1.1835, 1.1835, 6.4495]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 3], [0, 1, 1]], [1.0828, 1.2978, 6.5365]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 6], [1, 0, 2], [0, 1, 1]], [1.0773, 1.1674, 6.972]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 7], [1, 0, 1], [0, 1, 1]], [1.0707, 1.0707, 7.576]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 4], [1, 0, 3], [0, 1, 3]], [1.2878, 1.2878, 6.7122]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 4], [1, 0, 4], [0, 1, 2]], [1.1716, 1.4142, 6.8284]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 3], [0, 1, 2]], [1.1674, 1.274, 6.975]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 4], [0, 1, 1]], [1.0751, 1.3879, 7.1558]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 6], [1, 0, 2], [0, 1, 2]], [1.1569, 1.1569, 7.3723]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 6], [1, 0, 3], [0, 1, 1]], [1.072, 1.2525, 7.4412]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 7], [1, 0, 2], [0, 1, 1]], [1.0672, 1.1441, 7.938]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 8], [1, 0, 1], [0, 1, 1]], [1.062, 1.062, 8.5661]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 4], [1, 0, 4], [0, 1, 3]], [1.2554, 1.3723, 7.3723]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 3], [0, 1, 3]], [1.25, 1.25, 7.5]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 4], [0, 1, 2]], [1.1517, 1.3575, 7.5937]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 5], [0, 1, 1]], [1.0679, 1.4661, 7.8642]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 6], [1, 0, 3], [0, 1, 2]], [1.1459, 1.2361, 7.8541]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 6], [1, 0, 4], [0, 1, 1]], [1.0667, 1.3333, 8.0]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 7], [1, 0, 2], [0, 1, 2]], [1.1367, 1.1367, 8.3166]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 7], [1, 0, 3], [0, 1, 1]], [1.0635, 1.2182, 8.373]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 8], [1, 0, 2], [0, 1, 1]], [1.0594, 1.1264, 8.9129]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 9], [1, 0, 1], [0, 1, 1]], [1.0552, 1.0552, 9.5584]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 4], [1, 0, 4], [0, 1, 4]], [1.3333, 1.3333, 8.0]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 4], [0, 1, 3]], [1.227, 1.3274, 8.1094]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 5], [0, 1, 2]], [1.1371, 1.4315, 8.2944]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 6], [1, 0, 3], [0, 1, 3]], [1.2192, 1.2192, 8.3423]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 6], [1, 0, 4], [0, 1, 2]], [1.1348, 1.3116, 8.4188]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 6], [1, 0, 5], [0, 1, 1]], [1.0614, 1.407, 8.643]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 7], [1, 0, 3], [0, 1, 2]], [1.1288, 1.2065, 8.7651]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 7], [1, 0, 4], [0, 1, 1]], [1.0596, 1.2905, 8.8854]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 8], [1, 0, 2], [0, 1, 2]], [1.1208, 1.1208, 9.2749]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 8], [1, 0, 3], [0, 1, 1]], [1.0567, 1.1918, 9.3222]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 9], [1, 0, 2], [0, 1, 1]], [1.0532, 1.1124, 9.8935]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 10], [1, 0, 1], [0, 1, 1]], [1.0497, 1.0497, 10.5523]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 4], [0, 1, 4]], [1.2984, 1.2984, 8.7016]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 5], [1, 0, 5], [0, 1, 3]], [1.2056, 1.3972, 8.7944]]
