[[8, 7, 3], 0.06893610908816294]
[[8, 8, 2], 0.0680837213447076]
[[9, 5, 4], 0.0688130151806147]
[[9, 6, 3], 0.06849022555189968]
[[9, 7, 2], 0.06786326683386792]
[[9, 8, 1], 0.06696627229295098]
[[10, 4, 4], 0.06778775382679555]
[[10, 5, 3], 0.2065546856176264]
[[10, 6, 2], 0.19825764163192244]
[[10, 7, 1], 0.06654843531095178]
[[11, 4, 3], 0.06647991602513953]
[[11, 5, 2], 0.06623560185302918]
[[11, 6, 1], 0.06575617575189845]
[[12, 3, 3], 0.06507909910778975]
[[12, 4, 2], 0.06497376506212607]
[[12, 5, 1], 0.06466095136162711]
[[13, 3, 2], 0.06352220874007472]
[[13, 4, 1], 0.06334242701188765]
[[14, 2, 2], 0.061951233767890024]
[[14, 3, 1], 0.061874029927148966]
[[15, 2, 1], 0.060316295925381735]
[[16, 1, 1], 0.058715756997818454]
[[7, 6, 6], 0.06654977217885204]
[[7, 7, 5], 0.06637379620737917]
[[8, 6, 5], 0.06618170016032579]
[[8, 7, 4], 0.0658597208282754]
[[8, 8, 3], 0.06523738764348556]
[[9, 5, 5], 0.06562344002953281]
[[9, 6, 4], 0.06547683080452475]
[[9, 7, 3], 0.06504548378311234]
[[9, 8, 2], 0.06435335853319801]
[[9, 9, 1], 0.06343594144585568]
[[10, 5, 4], 0.06474726644437272]
[[10, 6, 3], 0.06448883903165874]
[[10, 7, 2], 0.06398418022358594]
[[10, 8, 1], 0.06325607638941494]
[[11, 4, 4], 0.0637317940666757]
[[11, 5, 3], 0.06361803055734803]
[[11, 6, 2], 0.06328115336259457]
[[11, 7, 1], 0.06273397095270065]
[[12, 4, 3], 0.06249999999999948]
[[12, 5, 2], 0.06230332336415026]
[[12, 6, 1], 0.06191610536547292]
[[13, 3, 3], 0.061203254786254796]
[[13, 4, 2], 0.061117953262570454]
[[13, 5, 1], 0.06086420985327097]
[[14, 3, 2], 0.05978857236353493]
[[14, 4, 1], 0.05964174746441911]
[[15, 2, 2], 0.058368881331820235]
[[15, 3, 1], 0.058305322374374524]
[[16, 2, 1], 0.05690118882091855]
[[17, 1, 1], 0.055465046012979524]
[[7, 7, 6], 0.06322921452127697]
[[8, 6, 6], 0.06306760005609399]
[[8, 7, 5], 0.1868781454811498]
[[8, 8, 4], 0.06250000000000032]
[[9, 6, 5], 0.06259588603994731]
[[9, 7, 4], 0.062333741891896825]
[[9, 8, 3], 0.06182408175586986]
[[9, 9, 2], 0.06109363523195957]
[[10, 5, 5], 0.06196843494267549]
[[10, 6, 4], 0.061849789374326454]
[[10, 7, 3], 0.061499503635586414]
[[10, 8, 2], 0.060933744369096564]
[[10, 9, 1], 0.060177035729057936]
[[11, 5, 4], 0.061087967977390835]
[[11, 6, 3], 0.060878730456071097]
[[11, 7, 2], 0.06046841871340421]
[[11, 8, 1], 0.059872505685751254]
[[12, 4, 4], 0.06010220172734149]
[[12, 5, 3], 0.06000994357674362]
[[12, 6, 2], 0.0597361394363875]
[[12, 7, 1], 0.05928947065832054]
[[13, 4, 3], 0.058949264952296784]
[[13, 5, 2], 0.05878885571886378]
[[13, 6, 1], 0.058472235855625214]
[[14, 3, 3], 0.057751065635686806]
[[14, 4, 2], 0.05768108076736984]
[[14, 5, 1], 0.057472629363668266]
[[15, 3, 2], 0.056462522074780884]
[[15, 4, 1], 0.05634112488362359]
[[16, 2, 2], 0.05517471039616216]
[[16, 3, 1], 0.055121772778725125]
[[17, 2, 1], 0.05385040847307991]
[[18, 1, 1], 0.052554834776497354]
[[7, 7, 7], 0.060267857142856734]
[[8, 7, 6], 0.060132014501161]
[[8, 8, 5], 0.05987747426900565]
[[9, 6, 6], 0.059852792732756226]
[[9, 7, 5], 0.05973398477445986]
[[9, 8, 4], 0.05938411360212484]
[[9, 9, 3], 0.05882168014809277]
[[10, 6, 5], 0.05931490281512083]
[[10, 7, 4], 0.05909999106533355]
[[10, 8, 3], 0.058680176973172224]
[[10, 9, 2], 0.05807407407407323]
[[10, 10, 1], 0.05730646676500719]
[[11, 5, 5], 0.0586512095917663]
[[11, 6, 4], 0.05855427333172071]
[[11, 7, 3], 0.05826730051661677]
[[11, 8, 2], 0.0578013717312368]
[[11, 9, 1], 0.057173612602965176]
[[12, 5, 4], 0.05778580475747595]
[[12, 6, 3], 0.05761454706010426]
[[12, 7, 2], 0.05727761427163293]
[[12, 8, 1], 0.05678570391600367]
[[13, 4, 4], 0.05684086361993576]
[[13, 5, 3], 0.05676515473776824]
[[13, 6, 2], 0.05654007587243593]
[[13, 7, 1], 0.056171643705005006]
[[14, 4, 3], 0.055765467336357386]
[[14, 5, 2], 0.05563308315475728]
[[14, 6, 1], 0.055371256628964]
[[15, 3, 3], 0.05465872680786121]
[[15, 4, 2], 0.05460063668703787]
[[15, 5, 1], 0.054427436127244974]
[[16, 3, 2], 0.05348191051583948]
[[16, 4, 1], 0.053380429486597145]
[[17, 2, 2], 0.05230941152531665]
[[17, 3, 1], 0.05226486199035561]
[[18, 2, 1], 0.05110885801968494]
[[19, 1, 1], 0.04993436620264641]
[[8, 7, 7], 0.05748846355163232]
[[8, 8, 6], 0.057374214024262606]
[[9, 7, 6], 0.05725071695790771]
[[9, 8, 5], 0.057038317256264286]
[[9, 9, 4], 0.056624672240746084]
[[10, 6, 6], 0.05688888888888872]
[[10, 7, 5], 0.05679051118787156]
[[10, 8, 4], 0.05649993843718154]
[[10, 9, 3], 0.05603019164314899]
[[10, 10, 2], 0.05540096111871441]
[[11, 6, 5], 0.05631258435057493]
[[11, 7, 4], 0.05613506671468463]
[[11, 8, 3], 0.0557869747113201]
[[11, 9, 2], 0.05528140073853145]
[[11, 10, 1], 0.054636165309118245]
[[12, 5, 5], 0.055635505219301495]
[[12, 6, 4], 0.05555555555555435]
[[12, 7, 3], 0.055318360030113554]
[[12, 8, 2], 0.054931640624999625]
[[12, 9, 1], 0.05440750688981587]
[[13, 5, 4], 0.05479700617258964]
[[13, 6, 3], 0.054655388617353105]
[[13, 7, 2], 0.05437605071367434]
[[13, 8, 1], 0.05396652286276497]
[[14, 4, 4], 0.053898409680559076]
[[14, 5, 3], 0.05383560413567603]
[[14, 6, 2], 0.05364863072045067]
[[14, 7, 1], 0.05334174680578955]
[[15, 4, 3], 0.052897018740371476]
[[15, 5, 2], 0.05278659010306668]
