[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 7], [1, 0, 7], [0, 1, 0]], [1.0, 1.5, 10.4997]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 8], [1, 0, 6], [0, 1, 0]], [1.0, 1.3944, 10.6056]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 9], [1, 0, 5], [0, 1, 0]], [1.0, 1.2974, 10.9051]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 10], [1, 0, 4], [0, 1, 0]], [1.0, 1.2137, 11.3589]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 11], [1, 0, 3], [0, 1, 0]], [1.0, 1.1439, 11.9244]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 12], [1, 0, 2], [0, 1, 0]], [1.0, 1.0864, 12.5678]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 13], [1, 0, 1], [0, 1, 0]], [1.0, 1.0392, 13.265]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 8], [1, 0, 7], [0, 1, 0]], [1.0, 1.4502, 11.2749]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 9], [1, 0, 6], [0, 1, 0]], [1.0, 1.3542, 11.4686]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 10], [1, 0, 5], [0, 1, 0]], [1.0, 1.2679, 11.8301]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 11], [1, 0, 4], [0, 1, 0]], [1.0, 1.1938, 12.3218]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 12], [1, 0, 3], [0, 1, 0]], [1.0, 1.1315, 12.9083]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 13], [1, 0, 2], [0, 1, 0]], [1.0, 1.0796, 13.5622]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 14], [1, 0, 1], [0, 1, 0]], [1.0, 1.0363, 14.2639]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 8], [1, 0, 8], [0, 1, 0]], [1.0, 1.5, 12.0002]]
