[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 2], [0, 0, 5]], array([ 0.91528032,  2.82479329,  4.54764187])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 3], [0, 0, 5]], array([ 1.42618919,  1.76584393,  5.91505833])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 4], [0, 0, 5]], array([ 1.33386454,  1.98806823,  5.3553583 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 2], [0, 0, 6]], array([ 1.53669893,  1.55285737,  4.90286169])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 3], [0, 0, 6]], array([ 1.33504128,  1.9658702 ,  4.04069242])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 7]], array([ 1.72848997,  1.37624756,  3.61890886])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 7]], array([ 1.33662351,  1.9461061 ,  2.70431476])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 8]], array([ 1.3393961 ,  1.93090171,  1.3563771 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 9]], array([ 1.50002193,  1.49998502,  9.00004177])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 3], [0, 0, 4]], array([ 0.91847409,  2.83641527,  6.74603451])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 4], [0, 0, 4]], array([ 10.71179949,   2.07687478, -12.77840103])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 3], [0, 0, 5]], array([ 6.5932857 ,  2.88809342,  0.82212375])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 4], [0, 0, 5]], array([ 1.37878022,  1.89767759,  6.75496159])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 5], [0, 0, 5]], array([ 1.33333333,  2.        ,  6.66666667])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 2], [0, 0, 6]], array([ 2.67789762,  0.89753409,  4.29445235])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 3], [0, 0, 6]], array([ 1.4488942 ,  1.68644953,  6.17423567])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 4], [0, 0, 6]], array([ 1.33422755,  1.97886843,  5.369578  ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 2], [0, 0, 7]], array([ 1.55399133,  1.512141  ,  4.96754258])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 3], [0, 0, 7]], array([ 1.335281  ,  1.9595291 ,  4.04563127])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 8]], array([ 1.74193731,  1.35666568,  3.63914743])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 8]], array([  1.25123286,   1.01116937,  23.46366833])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 9]], array([ 0.87180595,  5.05626912,  4.17683511])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 10]], array([  1.49984624,   1.49965518,  10.00688654])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 4], [0, 0, 4]], array([ 0.91161166,  2.92425829,  7.08656583])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 3], [0, 0, 5]], array([ 2.49471107,  0.91659057,  5.7663835 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 4], [0, 0, 5]], array([ 0.89853252,  3.00178383,  4.99622534])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 5], [0, 0, 5]], array([ 1.35231558,  2.00000017,  7.29539422])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 3], [0, 0, 6]], array([ 0.90155137,  2.94221179,  4.85237184])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 4], [0, 0, 6]], array([ 1.39794606,  1.80811474,  7.25861347])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 5], [0, 0, 6]], array([ 1.33369832,  1.99015892,  6.68919978])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 2], [0, 0, 7]], array([ 5.44926625,  2.2225703 ,  0.76952655])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 3], [0, 0, 7]], array([ 4.56694551,  2.01685014,  0.68574656])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 4], [0, 0, 7]], array([ 1.33448641,  1.9715687 ,  5.37927851])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 2], [0, 0, 8]], array([ 1.56662771,  1.48289179,  5.0086507 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 3], [0, 0, 8]], array([ 1.3354546 ,  1.95445861,  4.04907112])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 9]], array([ 1.75217703,  1.34183678,  3.6536232 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 9]], array([ 1.33687174,  1.93908902,  2.70636181])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 10]], array([ 2.0570552 ,  0.51546742,  6.67733275])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 11]], array([  1.50000614,   1.49998954,  11.00001433])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 4], [0, 1, 4], [0, 0, 4]], array([ 0.92900666,  2.83130806,  8.80997266])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 4], [0, 0, 5]], array([ 0.90366566,  2.92770187,  7.1404956 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 5], [0, 0, 5]], array([ 1.4056089 ,  2.08200972,  8.20081403])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 3], [0, 0, 6]], array([ 2.557571  ,  0.90551949,  5.98989377])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 4], [0, 0, 6]], array([ 1.47554816,  1.8883657 ,  8.08628607])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 5], [0, 0, 6]], array([ 1.3665993 ,  1.91421744,  8.07568375])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 6], [0, 0, 6]], array([ 1.33332657,  2.        ,  8.00009315])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 3], [0, 0, 7]], array([ 3.28528285,  4.79504412,  0.88859943])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 4], [0, 0, 7]], array([ 1.41436757,  1.73812771,  7.56194647])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 5], [0, 0, 7]], array([ 1.33396449,  1.98221207,  6.70498282])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 2], [0, 0, 8]], array([ 0.90997418,  2.82122897,  4.54706229])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 3], [0, 0, 8]], array([ 1.47879212,  1.58922927,  6.41238592])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 4], [0, 0, 8]], array([ 1.33467751,  1.96563981,  5.38618862])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 2], [0, 0, 9]], array([ 1.57614541,  1.46099254,  5.0366382 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 3], [0, 0, 9]], array([ 1.33558446,  1.95031284,  4.05156368])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 10]], array([ 1.7601998 ,  1.33023448,  3.664441  ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 10]], array([ 1.33695154,  1.93651053,  2.70698847])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 11]], array([ 1.33954899,  1.92646159,  1.35663702])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 12]], array([  1.50000888,   1.49999146,  12.00018906])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 4], [0, 1, 4], [0, 0, 5]], array([ 0.91842874,  2.83719929,  8.95809769])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 5], [0, 0, 5]], array([ 2.49789726,  0.92202568,  5.78544905])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 4], [0, 0, 6]], array([  1.37547957,   1.87024099,  10.72337796])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 5], [0, 0, 6]], array([ 2.68765616,  0.90983812,  4.32549092])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 6], [0, 0, 6]], array([ 1.34719166,  2.        ,  8.63202084])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 3], [0, 0, 7]], array([ 0.90514619,  2.83354259,  6.79554585])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 4], [0, 0, 7]], array([ 11.17866229,   2.39337997, -26.37631282])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 5], [0, 0, 7]], array([ 1.38100216,  1.83796909,  8.60257562])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 6], [0, 0, 7]], array([ 1.33359933,  1.99163054,  8.02287947])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 3], [0, 0, 8]], array([ 5.18002926,  2.25702096,  0.75555713])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 4], [0, 0, 8]], array([ 1.42729114,  1.68535239,  7.74827272])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 5], [0, 0, 8]], array([ 1.33416448,  1.97566685,  6.71645796])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 2], [0, 0, 9]], array([ 5.06193392,  4.09044263,  0.29287152])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 3], [0, 0, 9]], array([ 1.48840388,  1.55874123,  6.47173045])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 4], [0, 0, 9]], array([ 1.33482265,  1.96073082,  5.39128493])]
